ReturnID,TransactionID,ReturnDate,Reason
RET208,TXN103202,2025-02-22,Changed Mind
RET209,TXN113750,2025-07-17,Not as Described
RET210,TXN121502,2025-11-25,Not as Described
RET211,TXN120690,2025-10-21,Size Issue
RET212,TXN116630,2025-08-13,Changed Mind
RET213,TXN124220,2025-12-20,Wrong Item
RET214,TXN110939,2025-06-30,Not as Described
RET215,TXN121335,2025-11-06,Wrong Item
RET216,TXN110210,2025-05-31,Wrong Item
RET217,TXN101959,2025-01-30,Damaged
RET218,TXN101098,2025-01-18,Changed Mind
RET219,TXN109989,2025-05-20,Not as Described
RET220,TXN111772,2025-06-15,Size Issue
RET221,TXN102045,2025-01-30,Damaged
RET222,TXN105886,2025-03-07,Changed Mind
RET223,TXN107201,2025-05-03,Damaged
RET224,TXN115078,2025-07-18,Damaged
RET225,TXN100037,2025-01-17,Damaged
RET226,TXN101828,2025-01-15,Size Issue
RET227,TXN116296,2025-08-10,Not as Described
RET228,TXN101455,2025-01-30,Changed Mind
RET229,TXN105118,2025-03-08,Size Issue
RET230,TXN105790,2025-03-16,Not as Described
RET231,TXN122401,2025-11-20,Damaged
RET232,TXN116615,2025-08-25,Not as Described
RET233,TXN102006,2025-01-17,Size Issue
RET234,TXN100527,2025-01-08,Damaged
RET235,TXN101548,2025-01-08,Size Issue
RET236,TXN106874,2025-04-10,Not as Described
RET237,TXN104013,2025-02-10,Damaged
RET238,TXN113974,2025-07-15,Not as Described
RET239,TXN110629,2025-05-26,Damaged
RET240,TXN107154,2025-04-15,Wrong Item
RET241,TXN106004,2025-03-18,Changed Mind
RET242,TXN115768,2025-08-11,Damaged
RET243,TXN124937,2025-12-09,Wrong Item
RET244,TXN110213,2025-05-16,Wrong Item
RET245,TXN103075,2025-02-09,Changed Mind
RET246,TXN119912,2025-11-02,Size Issue
RET247,TXN102032,2025-01-08,Not as Described
RET248,TXN123478,2025-11-18,Not as Described
RET249,TXN121131,2025-10-27,Wrong Item
RET250,TXN109376,2025-05-27,Wrong Item
RET251,TXN121747,2025-12-01,Not as Described
RET252,TXN117509,2025-09-16,Changed Mind
RET253,TXN120686,2025-11-04,Changed Mind
RET254,TXN120110,2025-10-24,Wrong Item
RET255,TXN124972,2025-12-03,Damaged
RET256,TXN118761,2025-09-22,Wrong Item
RET257,TXN118987,2025-09-12,Damaged
RET258,TXN113716,2025-07-29,Size Issue
RET259,TXN124003,2025-12-14,Changed Mind
RET260,TXN110512,2025-05-17,Damaged
RET261,TXN102051,2025-01-29,Changed Mind
RET262,TXN104015,2025-02-22,Not as Described
RET263,TXN115324,2025-08-23,Size Issue
RET264,TXN123327,2025-12-05,Damaged
RET265,TXN124335,2025-12-25,Size Issue
RET266,TXN103081,2025-03-09,Not as Described
RET267,TXN112368,2025-06-25,Wrong Item
RET268,TXN120057,2025-10-30,Changed Mind
RET269,TXN105669,2025-03-31,Damaged
RET270,TXN123839,2025-12-28,Changed Mind
RET271,TXN110633,2025-06-01,Size Issue
RET272,TXN118711,2025-09-27,Damaged
RET273,TXN123028,2025-11-23,Damaged
RET274,TXN113182,2025-07-25,Damaged
RET275,TXN122555,2025-11-18,Size Issue
RET276,TXN117521,2025-10-03,Changed Mind
RET277,TXN102483,2025-02-10,Damaged
RET278,TXN125187,2025-12-28,Changed Mind
RET279,TXN114919,2025-07-20,Size Issue
RET280,TXN114357,2025-08-05,Wrong Item
RET281,TXN122366,2025-11-14,Not as Described
RET282,TXN100308,2025-01-27,Size Issue
RET283,TXN108809,2025-05-14,Size Issue
RET284,TXN102407,2025-02-12,Not as Described
RET285,TXN102979,2025-02-22,Wrong Item
RET286,TXN114889,2025-08-03,Changed Mind
RET287,TXN122901,2025-11-14,Damaged
RET288,TXN118059,2025-09-28,Size Issue
RET289,TXN102028,2025-01-11,Wrong Item
RET290,TXN113224,2025-08-04,Not as Described
RET291,TXN107189,2025-05-01,Size Issue
RET292,TXN109622,2025-05-04,Not as Described
RET293,TXN118087,2025-10-07,Wrong Item
RET294,TXN115361,2025-08-31,Size Issue
RET295,TXN111504,2025-06-22,Wrong Item
RET296,TXN109467,2025-06-02,Changed Mind
RET297,TXN120776,2025-10-05,Not as Described
RET298,TXN109410,2025-05-29,Changed Mind
RET299,TXN104907,2025-03-18,Size Issue
RET300,TXN117843,2025-09-17,Size Issue
RET301,TXN118129,2025-09-19,Changed Mind
RET302,TXN103568,2025-02-28,Changed Mind
RET303,TXN114878,2025-08-05,Not as Described
RET304,TXN107323,2025-04-11,Size Issue
RET305,TXN119458,2025-10-17,Changed Mind
RET306,TXN108117,2025-04-12,Wrong Item
RET307,TXN108421,2025-04-12,Wrong Item
RET308,TXN102214,2025-02-28,Size Issue
RET309,TXN102444,2025-02-23,Changed Mind
RET310,TXN114551,2025-07-22,Wrong Item
RET311,TXN120208,2025-11-07,Size Issue
RET312,TXN112489,2025-07-05,Changed Mind
RET313,TXN125558,2025-12-22,Damaged
RET314,TXN111268,2025-06-16,Not as Described
RET315,TXN106027,2025-03-20,Damaged
RET316,TXN112649,2025-06-22,Damaged
RET317,TXN102578,2025-02-27,Damaged
RET318,TXN118287,2025-10-02,Changed Mind
RET319,TXN108405,2025-05-05,Wrong Item
RET320,TXN108501,2025-04-21,Changed Mind
RET321,TXN107471,2025-05-04,Changed Mind
RET322,TXN121182,2025-10-15,Not as Described
RET323,TXN107464,2025-05-04,Not as Described
RET324,TXN101054,2025-01-28,Wrong Item
RET325,TXN107599,2025-04-24,Not as Described
RET326,TXN115728,2025-08-13,Not as Described
RET327,TXN113764,2025-07-14,Damaged
RET328,TXN125173,2025-12-22,Not as Described
RET329,TXN112971,2025-07-01,Changed Mind
RET330,TXN108846,2025-05-24,Damaged
RET331,TXN123121,2025-11-28,Changed Mind
RET332,TXN124309,2025-12-26,Damaged
RET333,TXN106670,2025-04-13,Wrong Item
RET334,TXN124446,2025-12-14,Wrong Item
RET335,TXN115333,2025-08-28,Wrong Item
RET336,TXN112890,2025-06-29,Changed Mind
RET337,TXN104281,2025-02-15,Not as Described
RET338,TXN116601,2025-09-03,Wrong Item
RET339,TXN105760,2025-03-27,Size Issue
RET340,TXN111961,2025-06-27,Size Issue
RET341,TXN115825,2025-08-19,Changed Mind
RET342,TXN101289,2025-01-27,Size Issue
RET343,TXN103755,2025-02-23,Not as Described
RET344,TXN102532,2025-02-02,Damaged
RET345,TXN102539,2025-03-02,Size Issue
RET346,TXN117470,2025-09-22,Size Issue
RET347,TXN103862,2025-02-16,Not as Described
RET348,TXN111541,2025-06-08,Wrong Item
RET349,TXN119242,2025-09-13,Changed Mind
RET350,TXN107964,2025-04-27,Changed Mind
RET351,TXN115328,2025-08-11,Size Issue
RET352,TXN101755,2025-01-14,Size Issue
RET353,TXN110353,2025-06-01,Damaged
RET354,TXN106371,2025-03-23,Not as Described
RET355,TXN117556,2025-09-18,Wrong Item
RET356,TXN119505,2025-10-20,Damaged
RET357,TXN124140,2025-12-30,Changed Mind
RET358,TXN114069,2025-07-29,Damaged
RET359,TXN124087,2026-01-07,Wrong Item
RET360,TXN111263,2025-06-25,Changed Mind
RET361,TXN120246,2025-10-23,Damaged
RET362,TXN123989,2025-12-26,Not as Described
RET363,TXN118109,2025-10-05,Not as Described
RET364,TXN106053,2025-03-25,Damaged
RET365,TXN118241,2025-09-25,Wrong Item
RET366,TXN121949,2025-11-12,Changed Mind
RET367,TXN106740,2025-04-21,Not as Described
RET368,TXN104461,2025-03-19,Size Issue
RET369,TXN124621,2025-12-14,Size Issue
RET370,TXN106098,2025-03-26,Changed Mind
RET371,TXN119884,2025-10-14,Damaged
RET372,TXN110240,2025-05-25,Changed Mind
RET373,TXN108027,2025-04-23,Damaged
RET374,TXN119181,2025-10-03,Damaged
RET375,TXN108547,2025-04-17,Not as Described
RET376,TXN106762,2025-04-19,Not as Described
RET377,TXN108840,2025-05-16,Damaged
RET378,TXN108502,2025-04-07,Changed Mind
RET379,TXN102097,2025-01-15,Wrong Item
RET380,TXN120895,2025-10-21,Size Issue
RET381,TXN125534,2025-12-08,Changed Mind
RET382,TXN123510,2026-01-10,Size Issue
RET383,TXN100130,2025-01-29,Changed Mind
RET384,TXN104476,2025-04-01,Wrong Item
RET385,TXN116773,2025-08-18,Not as Described
RET386,TXN103946,2025-03-07,Not as Described
RET387,TXN109936,2025-05-15,Not as Described
RET388,TXN118324,2025-09-15,Not as Described
RET389,TXN115298,2025-08-29,Not as Described
RET390,TXN101599,2025-01-17,Not as Described
RET391,TXN122958,2025-11-17,Changed Mind
RET392,TXN109114,2025-05-09,Damaged
RET393,TXN106458,2025-03-23,Not as Described
RET394,TXN118720,2025-09-08,Changed Mind
RET395,TXN123445,2025-11-13,Not as Described
RET396,TXN124970,2026-01-01,Changed Mind
RET397,TXN102958,2025-02-15,Wrong Item
RET398,TXN110420,2025-05-26,Not as Described
RET399,TXN111053,2025-06-22,Not as Described
RET400,TXN109298,2025-05-18,Wrong Item
RET401,TXN117356,2025-09-06,Not as Described
RET402,TXN109676,2025-05-26,Wrong Item
RET403,TXN112973,2025-06-25,Size Issue
RET404,TXN104803,2025-03-10,Size Issue
RET405,TXN103403,2025-03-04,Damaged
RET406,TXN100551,2025-01-13,Changed Mind
RET407,TXN116566,2025-08-07,Changed Mind
RET408,TXN117602,2025-09-18,Size Issue
RET409,TXN105344,2025-03-16,Damaged
RET410,TXN105663,2025-03-17,Wrong Item
RET411,TXN120659,2025-10-09,Damaged
RET412,TXN106445,2025-03-20,Not as Described
RET413,TXN101906,2025-01-10,Size Issue
RET414,TXN108765,2025-05-24,Changed Mind
RET415,TXN100175,2025-01-24,Size Issue
RET416,TXN119072,2025-09-22,Wrong Item
RET417,TXN125104,2025-12-25,Size Issue
RET418,TXN104501,2025-03-10,Changed Mind
RET419,TXN112813,2025-06-22,Not as Described
RET420,TXN114199,2025-07-13,Size Issue
RET421,TXN104814,2025-03-31,Size Issue
RET422,TXN103914,2025-02-13,Not as Described
RET423,TXN110477,2025-05-31,Damaged
RET424,TXN111576,2025-06-23,Changed Mind
RET425,TXN122092,2025-12-09,Damaged
RET426,TXN115396,2025-08-10,Wrong Item
RET427,TXN111809,2025-06-12,Changed Mind
RET428,TXN113668,2025-07-27,Changed Mind
RET429,TXN118545,2025-09-25,Size Issue
RET430,TXN113202,2025-07-27,Changed Mind
RET431,TXN117673,2025-09-20,Not as Described
RET432,TXN105694,2025-03-19,Changed Mind
RET433,TXN105818,2025-03-12,Wrong Item
RET434,TXN106203,2025-03-16,Not as Described
RET435,TXN112132,2025-07-01,Wrong Item
RET436,TXN114693,2025-07-27,Wrong Item
RET437,TXN116805,2025-08-15,Size Issue
RET438,TXN111769,2025-06-30,Not as Described
RET439,TXN121697,2025-11-28,Wrong Item
RET440,TXN104771,2025-03-10,Changed Mind
RET441,TXN103310,2025-03-02,Wrong Item
RET442,TXN111450,2025-06-15,Changed Mind
RET443,TXN117445,2025-09-08,Size Issue
RET444,TXN124006,2025-12-16,Wrong Item
RET445,TXN101896,2025-01-07,Size Issue
RET446,TXN115708,2025-08-19,Not as Described
RET447,TXN104325,2025-03-29,Wrong Item
RET448,TXN110296,2025-05-18,Size Issue
RET449,TXN111668,2025-06-13,Not as Described
RET450,TXN106715,2025-04-09,Wrong Item
RET451,TXN115231,2025-08-12,Wrong Item
RET452,TXN111258,2025-06-26,Changed Mind
RET453,TXN119346,2025-10-28,Changed Mind
RET454,TXN123285,2025-11-08,Not as Described
RET455,TXN114957,2025-07-07,Not as Described
RET456,TXN109617,2025-05-20,Not as Described
RET457,TXN121852,2025-11-27,Wrong Item
RET458,TXN109435,2025-05-13,Not as Described
RET459,TXN117874,2025-09-26,Size Issue
RET460,TXN104871,2025-04-06,Not as Described
RET461,TXN109935,2025-05-07,Changed Mind
RET462,TXN115683,2025-08-29,Changed Mind
RET463,TXN105120,2025-03-26,Size Issue
RET464,TXN109256,2025-05-27,Wrong Item
RET465,TXN111195,2025-06-14,Damaged
RET466,TXN101300,2025-01-17,Changed Mind
RET467,TXN100422,2025-01-09,Size Issue
RET468,TXN124926,2026-01-03,Changed Mind
RET469,TXN115312,2025-08-18,Wrong Item
RET470,TXN119939,2025-10-09,Size Issue
RET471,TXN114501,2025-08-01,Damaged
RET472,TXN119689,2025-10-14,Wrong Item
RET473,TXN106482,2025-04-13,Changed Mind
RET474,TXN113702,2025-07-29,Wrong Item
RET475,TXN125255,2025-12-25,Changed Mind
RET476,TXN125298,2026-01-04,Changed Mind
RET477,TXN115961,2025-08-25,Damaged
RET478,TXN117904,2025-09-25,Damaged
RET479,TXN105421,2025-03-04,Not as Described
RET480,TXN117206,2025-09-17,Changed Mind
RET481,TXN122072,2025-11-30,Not as Described
RET482,TXN113894,2025-07-17,Size Issue
RET483,TXN122123,2025-11-28,Changed Mind
RET484,TXN100482,2025-01-20,Not as Described
RET485,TXN123346,2025-12-01,Damaged
RET486,TXN117654,2025-09-24,Wrong Item
RET487,TXN112363,2025-06-18,Damaged
RET488,TXN102085,2025-01-06,Size Issue
RET489,TXN120472,2025-10-27,Changed Mind
RET490,TXN112346,2025-06-20,Changed Mind
RET491,TXN101475,2025-01-14,Changed Mind
RET492,TXN123430,2025-11-19,Not as Described
RET493,TXN115376,2025-08-28,Changed Mind
RET494,TXN117920,2025-10-03,Size Issue
RET495,TXN116484,2025-08-15,Not as Described
RET496,TXN117520,2025-10-01,Not as Described
RET497,TXN108165,2025-04-18,Size Issue
RET498,TXN121770,2025-11-20,Damaged
RET499,TXN101033,2025-01-05,Damaged
RET500,TXN125177,2025-12-16,Wrong Item
RET501,TXN116318,2025-08-23,Damaged
RET502,TXN113502,2025-07-10,Wrong Item
RET503,TXN120349,2025-10-29,Damaged
RET504,TXN110483,2025-05-10,Damaged
RET505,TXN106612,2025-04-14,Not as Described
RET506,TXN116685,2025-08-30,Damaged
RET507,TXN119267,2025-10-02,Not as Described
RET508,TXN111813,2025-06-25,Size Issue
RET509,TXN123872,2025-12-29,Wrong Item
RET510,TXN125178,2025-12-29,Size Issue
RET511,TXN124617,2026-01-07,Size Issue
RET512,TXN118709,2025-09-18,Not as Described
RET513,TXN124131,2025-12-16,Size Issue
RET514,TXN122332,2025-12-06,Not as Described
RET515,TXN112897,2025-07-07,Not as Described
RET516,TXN115656,2025-08-28,Changed Mind
RET517,TXN111930,2025-06-19,Damaged
RET518,TXN117501,2025-09-26,Size Issue
RET519,TXN110556,2025-06-04,Damaged
RET520,TXN106722,2025-04-22,Wrong Item
RET521,TXN114650,2025-07-16,Wrong Item
RET522,TXN105824,2025-03-27,Size Issue
RET523,TXN120498,2025-10-19,Size Issue
RET524,TXN114370,2025-07-07,Size Issue
RET525,TXN101662,2025-01-15,Size Issue
RET526,TXN121173,2025-10-21,Wrong Item
RET527,TXN125551,2026-01-04,Changed Mind
RET528,TXN102915,2025-02-19,Wrong Item
RET529,TXN120228,2025-10-18,Not as Described
RET530,TXN105431,2025-04-07,Changed Mind
RET531,TXN100563,2025-01-22,Not as Described
RET532,TXN123141,2025-11-28,Wrong Item
RET533,TXN102038,2025-01-26,Size Issue
RET534,TXN114188,2025-07-12,Not as Described
RET535,TXN104748,2025-03-25,Wrong Item
RET536,TXN106502,2025-04-28,Changed Mind
RET537,TXN103579,2025-02-22,Size Issue
RET538,TXN103433,2025-02-06,Not as Described
RET539,TXN104668,2025-03-28,Damaged
RET540,TXN121196,2025-11-03,Wrong Item
RET541,TXN116879,2025-09-01,Wrong Item
RET542,TXN114246,2025-07-17,Size Issue
RET543,TXN119356,2025-10-11,Changed Mind
RET544,TXN112419,2025-06-21,Not as Described
RET545,TXN105160,2025-03-12,Not as Described
RET546,TXN122287,2025-11-12,Size Issue
RET547,TXN102674,2025-03-02,Size Issue
RET548,TXN121466,2025-11-20,Changed Mind
RET549,TXN103899,2025-03-04,Damaged
RET550,TXN120610,2025-10-10,Wrong Item
RET551,TXN118937,2025-09-24,Wrong Item
RET552,TXN112576,2025-06-24,Damaged
RET553,TXN123191,2025-11-08,Damaged
RET554,TXN120773,2025-10-31,Size Issue
RET555,TXN105190,2025-03-20,Changed Mind
RET556,TXN104886,2025-03-23,Size Issue
RET557,TXN115920,2025-08-15,Size Issue
RET558,TXN112183,2025-06-24,Not as Described
RET559,TXN116146,2025-08-29,Size Issue
RET560,TXN122627,2025-11-24,Wrong Item
RET561,TXN114837,2025-07-11,Changed Mind
RET562,TXN104820,2025-04-03,Not as Described
RET563,TXN119035,2025-09-15,Damaged
RET564,TXN116319,2025-09-05,Size Issue
RET565,TXN114158,2025-07-10,Size Issue
RET566,TXN114583,2025-07-27,Damaged
RET567,TXN109554,2025-05-30,Size Issue
RET568,TXN105322,2025-03-20,Not as Described
RET569,TXN114982,2025-08-03,Not as Described
RET570,TXN112144,2025-06-15,Damaged
RET571,TXN123587,2025-12-15,Changed Mind
RET572,TXN104622,2025-03-18,Not as Described
RET573,TXN106086,2025-04-01,Changed Mind
RET574,TXN113438,2025-07-20,Wrong Item
RET575,TXN116892,2025-08-28,Not as Described
RET576,TXN102465,2025-02-27,Damaged
RET577,TXN125302,2025-12-11,Size Issue
RET578,TXN119556,2025-10-13,Not as Described
RET579,TXN105218,2025-04-01,Size Issue
RET580,TXN113573,2025-07-12,Not as Described
RET581,TXN106554,2025-04-20,Wrong Item
RET582,TXN119929,2025-10-24,Changed Mind
RET583,TXN108862,2025-05-09,Wrong Item
RET584,TXN123466,2025-11-26,Damaged
RET585,TXN102990,2025-02-24,Damaged
RET586,TXN110819,2025-05-28,Not as Described
RET587,TXN121857,2025-12-01,Wrong Item
RET588,TXN118780,2025-09-21,Not as Described
RET589,TXN121375,2025-10-19,Damaged
RET590,TXN105611,2025-03-25,Damaged
RET591,TXN113372,2025-07-23,Not as Described
RET592,TXN124714,2025-12-25,Wrong Item
RET593,TXN108997,2025-05-22,Damaged
RET594,TXN120054,2025-10-29,Damaged
RET595,TXN115281,2025-08-21,Size Issue
RET596,TXN102164,2025-01-15,Changed Mind
RET597,TXN113244,2025-07-27,Damaged
RET598,TXN111059,2025-06-28,Damaged
RET599,TXN104314,2025-02-08,Size Issue
RET600,TXN119890,2025-10-11,Not as Described
